use_stl_remainder,use_mean_precip,n_train,p,interm_lvl,nb_fits,rnn_type,num_layers,hidden_size,p_drop,L2_pen,seq_len,learning_rate,n_epochs,batch_size,lr_decay,patience_decay,min_lr,patience_stop,scale_features,tol,Train_loss,Valid_loss,min_valid_loss,min_valid_e,test_loss
FALSE,FALSE,7762,7,0.8,3,lstm,3,32,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,2.66727220639586,3.28814762830734,3.27958818152547,987,3.86115431890009
FALSE,FALSE,7762,7,0.8,3,lstm,2,64,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,2.18632465973496,2.41929614171386,2.41439467668533,289,3.12247499018401
FALSE,FALSE,7762,7,0.8,3,lstm,3,64,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,2.39718520082533,2.4140162691474,2.41325902938843,992,3.1274805302679
FALSE,FALSE,7762,7,0.8,3,lstm,1,128,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,2.00275524705648,2.65983028896153,2.65851683169603,986,3.39203727009678
FALSE,FALSE,7762,7,0.8,3,lstm,2,128,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,1.97161938250065,2.19724154472351,2.19473515637219,990,2.86490683920792
FALSE,FALSE,7762,7,0.8,3,lstm,3,128,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,4.30458632111549,4.13035996444523,3.11184464581311,122,4.72970326727072
FALSE,FALSE,7762,7,0.8,3,lstm,1,256,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,2.24045098386705,3.01069112867117,3.00839454680681,987,3.74530054013267
FALSE,FALSE,7762,7,0.8,3,lstm,2,256,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,2.07964961882681,2.06578471884131,2.05989856272936,988,2.72707598198156
FALSE,FALSE,7762,7,0.8,3,lstm,1,64,0,1e-04,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,2.12059130240232,2.65598674118519,2.65503256395459,996,3.44647181824176
FALSE,FALSE,7762,7,0.8,3,lstm,2,64,0,1e-04,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,2.13605763576925,2.16605501435697,2.16439979895949,974,2.96210399335242
FALSE,FALSE,7762,7,0.8,3,lstm,3,64,0,1e-04,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,23.6204062849283,22.6713594794273,21.8076193332672,142,22.8067786892456
FALSE,FALSE,7762,7,0.8,3,lstm,1,128,0,1e-04,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,23.3374774008989,23.0058601051569,22.999343469739,996,22.9265463881699
FALSE,FALSE,7762,7,0.8,3,lstm,2,128,0,1e-04,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,7.10689477622509,7.12815485149622,7.12041489034891,991,7.85428512554077
FALSE,FALSE,7762,7,0.8,3,lstm,3,128,0,1e-04,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,14.6854716092348,14.384909145534,14.3123315274715,948,14.7913539829506
