depth_scale,depth_shape,lrr_opt,B_opt,dev_best
1,0,6,475,1.232425687968967
1,1,6,475,1.2324243209064982
2,1,6,266,1.2340818205753425
2,2,6,266,1.2340457071675854
3,1,8,163,1.235378227071219
3,2,8,163,1.2353913257250688
3,3,8,163,1.2353786615784803
