depth_scale,depth_shape,lrr_opt,B_opt,dev_best
1,0,5,1001,1.8382219397088402
1,1,5,997,1.8381173463728668
2,1,5,591,1.8467279786515576
2,2,5,504,1.8469935439158451
3,1,5,326,1.8531267409661745
3,2,5,389,1.853253498884084
3,3,5,417,1.8536715393849093
