model,distr,n,p,df,interm_lvl,shape_fixed,net_structure,hidden_fct,p_drop,intermediate_q_feature,L2_pen,shape_penalty,Train_loss,Valid_loss,test_loss,test_MAE_q0.995,test_MAE_q0.999,test_MAE_q0.9995,test_MSE_q0.995,test_MSE_q0.999,test_MSE_q0.9995,learning_rate,n_epochs,lr_decay,patience_decay,min_lr,patience_stop,orthogonal_gpd
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_10h_10h,tanh,0,TRUE,5.00E-06,0,1.796002448,1.87866348,1.914621532,2.058374385,4.921265372,6.885938648,8.300910713,45.31782112,87.62269373,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_5h_5h,tanh,0,TRUE,5.00E-05,0,1.801612824,1.87866801,1.913407981,2.274042513,5.520417489,7.764239967,11.49391317,68.72826952,138.6275069,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_10h_10h,tanh,0,TRUE,5.00E-04,0,1.794104666,1.878733337,1.915041924,2.03552886,5.007506999,7.08241577,7.783519325,47.94900735,98.26775269,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_5h_5h,tanh,0,TRUE,1.00E-04,0,1.801612645,1.878759742,1.913811058,2.269174075,5.503134221,7.739007538,11.49358992,68.53884597,138.1851507,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_10h_10h,tanh,0,TRUE,1.00E-05,0,1.794513077,1.878855586,1.914996177,2.031348352,4.960516333,7.004008555,7.681894023,45.79170361,92.81909736,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,20h_10h_10h,tanh,0,TRUE,0,0,1.795029074,1.878900588,1.913208216,1.986711444,5.012062339,7.16124683,8.057145903,57.37065178,121.7772846,0.001,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_10h_10h,tanh,0,TRUE,0,0,1.794825584,1.878960192,1.915151328,2.034800018,4.967886766,7.011642649,7.70635341,45.85844495,92.81195278,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,20h_10h,tanh,0,TRUE,1.00E-06,0,1.797394246,1.879127622,1.910895854,2.033846717,4.849987974,6.719198453,8.690541953,47.94135748,90.68132774,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_10h_10h,tanh,0,TRUE,1.00E-06,0,1.794263989,1.879342437,1.915111005,2.035652664,4.985403653,7.044798696,7.675698075,46.43463716,94.6609396,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_10h_10h,tanh,0,TRUE,5.00E-05,0,1.794104218,1.87937957,1.914860576,2.039678172,4.984240091,7.038928034,7.719164629,46.00949838,93.33781048,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_5h_5h,tanh,0,TRUE,5.00E-05,0,1.790290147,1.879438996,1.913228542,2.068161252,5.183443702,7.391693196,8.681917771,59.38693226,125.1675184,0.001,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_10h_10h,tanh,0,TRUE,1.00E-04,0,1.793308049,1.879798174,1.915110916,2.032089765,5.006098913,7.089330138,7.64546906,47.64362472,98.2025548,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,20h_10h,tanh,0,TRUE,0.001,0,1.80305931,1.879949629,1.9135589,2.477899836,6.230519777,8.689890311,13.07697055,82.19340946,159.4076435,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_5h_5h,tanh,0,TRUE,0.001,0,1.78249833,1.879978299,1.934470147,2.498675278,5.989587244,8.424819657,12.23169408,75.73410435,154.8441447,0.001,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,20h_10h,tanh,0,TRUE,5.00E-05,0,1.795184761,1.880047262,1.91119507,2.036981157,4.872140471,6.754908917,8.717183474,49.13419785,93.54522797,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_5h_5h,tanh,0,TRUE,5.00E-04,0,1.807091147,1.880310416,1.919182718,2.33004626,5.802844784,8.097735898,11.35624403,71.41484235,138.0562932,0.001,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_5h_5h,tanh,0,TRUE,5.00E-04,0,1.80182457,1.880558312,1.918499291,2.297291744,5.477569465,7.671979888,11.92462134,67.65076505,134.733727,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_10h_10h,tanh,0,TRUE,5.00E-06,0,1.790447086,1.880721152,1.91425705,1.964147106,4.863793167,6.927032502,7.102559471,45.5862964,96.28493654,0.001,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,20h_10h,tanh,0,TRUE,1.00E-05,0,1.802036107,1.880770564,1.915284604,2.834591107,7.177820347,10.04935312,18.18258928,118.1361766,232.6840851,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_5h_5h,tanh,0,TRUE,1.00E-06,0,1.789088517,1.880897939,1.913220465,2.097009441,5.29000227,7.554493367,8.710561535,61.12496941,129.6097489,0.001,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_5h_5h,tanh,0,TRUE,0.001,0,1.799667567,1.880944967,1.92523244,2.463605601,5.827775962,8.131821235,13.04575428,73.36144688,145.2546937,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,64h_64h_64h,tanh,0,TRUE,1.00E-06,0,1.789543897,1.881280124,1.914691597,2.161059611,4.637203654,6.410074518,9.283875626,42.10562108,80.82133311,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_10h_10h,tanh,0,TRUE,0,0,1.790550411,1.881297827,1.914897114,1.972683205,4.887184661,6.949375973,7.110307709,45.75118906,95.99032387,0.001,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,20h_10h,tanh,0,TRUE,5.00E-04,0,1.798185945,1.881534755,1.911206394,1.992696993,4.893885568,6.867434572,7.729860445,44.6239753,87.27187578,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_5h_5h,tanh,0,TRUE,0,0,1.78917563,1.881773949,1.913610518,2.15319951,5.428191185,7.741150299,9.930396739,67.78472146,141.599816,0.001,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_10h_10h,tanh,0,TRUE,5.00E-04,0,1.787418246,1.881817997,1.915010661,1.982772327,5.005362182,7.175029778,7.442522159,52.08756105,111.6407794,0.001,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_10h_10h,tanh,0,TRUE,1.00E-04,0,1.7893278,1.88182193,1.915116757,1.975339349,4.900691522,6.978679853,7.115253124,45.97431856,97.10444756,0.001,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,20h_10h,tanh,0,TRUE,5.00E-06,0,1.795659602,1.881912529,1.911825508,1.966554192,4.802259528,6.722881098,7.796436121,45.20466801,87.96402307,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,64h_64h_64h,tanh,0,TRUE,1.00E-04,0,1.791594595,1.881954849,1.918995112,2.420819385,5.262155302,7.163416536,12.16815131,55.17568381,101.3084675,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,128h_128h_128h,tanh,0,TRUE,1.00E-04,0,1.789797872,1.882075489,NaN,2.605365429,6.057126544,8.425810119,17.13584119,96.9967605,190.7187371,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,64h_64h_64h,tanh,0,TRUE,5.00E-05,0,1.788954079,1.882135034,1.914282411,2.249327347,4.818128659,6.635872769,10.1958126,45.69857662,86.55360225,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,64h_64h_64h,tanh,0,TRUE,5.00E-06,0,1.791287214,1.882138193,1.914331466,2.374623658,5.068138327,6.8897473,11.91882103,52.23475692,95.5002349,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_5h_5h,tanh,0,TRUE,1.00E-05,0,1.786864221,1.882185698,1.914041907,2.12822187,5.370891356,7.666417851,9.2876082,64.39717211,135.467699,0.001,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,20h_10h,tanh,0,TRUE,1.00E-04,0,1.796166509,1.882187307,1.911241859,2.054466631,5.052134984,7.076462042,8.604480409,50.73835012,98.80953405,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_10h_10h,tanh,0,TRUE,5.00E-05,0,1.78699705,1.882279456,1.916030109,1.977981157,4.991768516,7.150789648,7.179526252,49.91730548,107.2301761,0.001,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,20h_10h,tanh,0,TRUE,0.001,0,1.791649461,1.882307172,1.90990755,1.828627463,4.656615652,6.649905633,6.373843133,42.94662427,89.74730236,0.001,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_5h_5h,tanh,0,TRUE,5.00E-06,0,1.787906051,1.882358313,1.91427806,2.129243644,5.37354089,7.667663593,9.446854263,65.17798166,136.7741749,0.001,1000,0.4,5,1.00E-05,20,TRUE
