Y_distr,X_distr,n,p,df,interm_lvl,rnn_type,num_layers,hidden_size,p_drop,L2_pen,seq_len,learning_rate,n_epochs,batch_size,lr_decay,patience_decay,min_lr,patience_stop,scale_features,tol,Train_loss,Valid_loss,min_valid_loss,min_valid_e,test_loss,MAE_test,MSE_test
foldnormal,foldnormal,5000,1,4,0.8,lstm,2,256,0,1e-06,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,0.468766593374312,0.451527528464794,0.450938101857901,15,0.496853957796865,0.231563478704235,0.157979604710965
foldnormal,foldnormal,5000,1,4,0.8,lstm,3,256,0,1e-06,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,0.457942768931389,0.45895965769887,0.451792266219854,20,0.502051206026534,0.337335579875461,0.242294344873827
foldnormal,foldnormal,5000,1,4,0.8,lstm,1,32,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,0.474130917340517,0.452659726142883,0.451825603842735,25,0.496456960092529,0.214951658136262,0.1426491943917
foldnormal,foldnormal,5000,1,4,0.8,lstm,2,32,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,0.473872036673129,0.452292531728745,0.45169186219573,22,0.498376612398186,0.237369908633204,0.158035260550985
foldnormal,foldnormal,5000,1,4,0.8,lstm,3,32,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,0.470730920322239,0.452465642243624,0.450587347149849,27,0.495816887889605,0.22006674614722,0.14864142270176
foldnormal,foldnormal,5000,1,4,0.8,lstm,1,64,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,0.472449925728142,0.453114107251167,0.451416827738285,23,0.496571953051418,0.216911127342214,0.12500024930949
foldnormal,foldnormal,5000,1,4,0.8,lstm,2,64,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,0.472770260646939,0.45344366133213,0.451752603054047,9,0.498630325261503,0.244400788345108,0.150780174723839
foldnormal,foldnormal,5000,1,4,0.8,lstm,3,64,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,0.466492690145969,0.452822223305702,0.451175983995199,14,0.501565304051073,0.288454125517068,0.191470414885448
foldnormal,foldnormal,5000,1,4,0.8,lstm,1,128,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,0.469731037504971,0.455891292542219,0.451682958751917,17,0.49778209931518,0.240631158702217,0.133923122677234
foldnormal,foldnormal,5000,1,4,0.8,lstm,2,128,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,0.467991597950459,0.45519731938839,0.450128234922886,18,0.499822979920004,0.268282299721717,0.20722186942838
foldnormal,foldnormal,5000,1,4,0.8,lstm,3,128,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,0.465533996932209,0.454764131456614,0.451349332928658,26,0.500472895363825,0.27912532445407,0.183174513291125
foldnormal,foldnormal,5000,1,4,0.8,lstm,1,256,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,0.471369952894747,0.452728718519211,0.451125118881464,18,0.498045658984087,0.230343241147845,0.121451604389718
foldnormal,foldnormal,5000,1,4,0.8,lstm,2,256,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,0.468429315835238,0.453441724181175,0.448816485702991,26,0.49950415573567,0.250210824733079,0.181102007487057
foldnormal,foldnormal,5000,1,4,0.8,lstm,3,256,0,1e-05,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,0.471643372438848,0.45181879401207,0.449385728687048,38,0.498455975053865,0.268338167557229,0.178021990535912
foldnormal,foldnormal,5000,1,4,0.8,lstm,1,32,0,1e-04,10,0.001,1000,256,0.4,5,1e-05,20,TRUE,1e-04,0.473124925047159,0.453084513545036,0.452333640307188,27,0.49728564859911,0.2289929712081,0.146365612696967
