depth_scale,depth_shape,lrr_opt,B_opt,dev_best
1,0,5,996,1.88093169742613
1,1,5,996,1.8799057920202824
2,1,5,542,1.8873133457783724
2,2,5,456,1.8875859820291006
3,1,6,425,1.8929749519423456
3,2,6,367,1.8929503016057765
3,3,6,373,1.8931928038347017
