depth_scale,depth_shape,lrr_opt,B_opt,dev_best
1,0,6,2424,2.591121311824766
1,1,6,2530,2.5922223754763807
2,1,5,1293,2.5895859015773466
2,2,6,1247,2.59101790504781
3,1,5,775,2.5942662563903975
3,2,5,755,2.5949412358454986
3,3,5,775,2.5956747558527695
