id,Name,BAFU_ID,Ave,Elevation,Surface_catchment,Mean_elevation_catchment,Glaciation_percent,X,Y,longitude95,latitude95,longitude03,latitude03
42,Kleine Emme-Emmen,2634,15.2330395672334,430,478.0,1054,0.0,663550,213785,8.27533165603027,47.07203666309749,8.275342096641323,47.07203597924604
43,Lütschine-Gsteig,2109,18.8080176889008,585,381.0,2050,13.5,633130,168200,7.8715263928621555,46.66421126725472,7.8715285079521085,46.66420835654647
44,Kander-Hondrich,2469,20.139676933607102,650,491.0,1854,5.1,617790,168400,7.671097645913044,46.66659421880087,7.671096898997969,46.66659164086009
45,Landquart-Felsenbach,2150,24.2993131268042,571,614.0,1797,0.7,765365,204910,9.612118773806555,46.97464893379591,9.612129409817756,46.97464757682966
46,"Thur-Jonschwil, Mühlau",2303,20.6675657757497,534,493.0,1021,0.0,723675,252720,9.077472972665843,47.41367085361797,9.077483069790544,47.41366830513023
47,Muota-Ingenbohl,2084,19.0748641192751,438,317.0,1363,0.0,688230,206140,8.598740557700987,47.00045095448801,8.598750017658867,47.00044907666218
48,"Doubs-Le Noirmont, La Goule",2370,27.453468970013,508,1047.0,977,0.0,561430,231050,6.929324979992119,47.22924396549144,6.929326683048792,47.229250927818136
49,Doubs-Combe des Sarrasins,2270,26.1723565025392,542,999.0,977,0.0,557530,227320,6.8781812870809285,47.19545490195339,6.878182054953183,47.19546195153605
50,"Sarine-Broc, Château d'en bas",2160,22.9973583608606,682,636.0,1500,0.3,573520,161345,7.093034719099719,46.60283818984135,7.093030260650329,46.60283961948272
51,Doubs-Ocourt,2210,33.061566258965,417,1275.0,952,0.0,572530,244460,7.075070546929325,47.35041508087168,7.0750751590775725,47.35042011256976
52,"Linth-Mollis, Linthbrücke",2372,32.7578970032438,436,600.0,1743,2.9,723985,217965,9.071992592859829,47.10107535726771,9.072002524569063,47.101072761660944
53,Aare-Brienzwiler,2019,35.25805795195279,570,555.0,2135,15.5,649930,177380,8.092031204981819,46.74574275510551,8.092037230268698,46.74574087771385
54,Vorderrhein-Ilanz,2033,34.348256073010305,693,774.0,2030,1.8,735000,182030,9.20638984981971,46.77576173364764,9.206398430823327,46.77575840929464
55,Reuss-Seedorf,2056,44.3756887934505,438,833.0,2013,6.4,690085,193210,8.620567095865674,46.88390715070252,8.620574955721636,46.88390358161295
56,Thur-Halden,2181,37.958702672751,456,1085.0,908,0.0,733560,263180,9.211550599176917,47.50579279755086,9.211560353445828,47.50578913994998
57,Thur-Andelfingen,2044,46.616354744329605,356,1702.0,770,0.0,693510,272500,8.681979737961875,47.596523122989694,8.68199387774566,47.596521152551226
58,Hinterrhein-Fürstenau,2387,39.6231234724541,650,1577.0,2127,0.6,753570,175730,9.447342587723536,46.71508639682892,9.44735335291942,46.71508180128114
59,Sarine-Fribourg,2119,41.6413979600054,532,1271.0,1247,0.2,579420,183670,7.16903244943563,46.80386946738687,7.169030376942089,46.80387085676847
60,Saane-Laupen,2215,53.34432775447121,480,1862.0,1137,0.1,584440,195300,7.234396509254184,46.90862141914273,7.234396707846646,46.90862275740349
61,Aare-Thun,2030,111.155995866327,548,2459.0,1746,6.9,613230,179280,7.611825139783096,46.76457019565907,7.611824979350586,46.764569080861165
62,"Aare-Bern, Schönau",2135,121.911893164301,502,2941.0,1596,5.8,600710,198000,7.447956335040915,46.93309220299808,7.447956881557422,46.93309258362196
63,"Reuss-Mühlau, Hünenberg",2110,130.01725179299498,390,2902.0,1371,2.2,672520,230600,8.396120795641718,47.22235233418697,8.396131279810959,47.22235124655042
64,Reuss-Mellingen,2018,140.73240383841102,345,3386.0,1259,1.8,662830,252580,8.271270829372707,47.421030222991774,8.271282783875293,47.42103032196479
65,Rhein-Domat/Ems,2602,117.615328707556,575,3229.0,2013,0.9,753890,189370,9.456113732495972,46.83766959034693,9.456124644793444,46.83766662406309
66,"Rhein-Diepoldsau, Rietbrücke",2473,230.536476594352,410,6299.0,1771,0.7,766280,250360,9.640905288824529,47.38307012896119,9.640909297461183,47.38306826090759
67,"Rhein-Rheinfelden, Messstation",2091,1039.8202609406098,262,34524.0,1068,1.1,627190,267840,7.799896568249992,47.560710831511216,7.799905411057454,47.5607149759373
68,"Rhein-Basel, Rheinhalle",2289,1073.8158586701402,246,35878.0,1052,1.0,613400,267650,7.616663312130052,47.55942708660929,7.616670464293818,47.55943238456303
