depth_scale,depth_shape,lrr_opt,B_opt,dev_best
1,0,6,556,1.181162744172112
1,1,6,556,1.1811797737683343
2,1,5,247,1.1828567066819993
2,2,5,247,1.1828510283909637
3,1,5,140,1.184816415389641
3,2,5,156,1.1847422846142197
3,3,5,140,1.1847707989413119
