Y_distr,n,df,interm_lvl,nb_fits,shape_fixed,rnn_type,num_layers,hidden_size,p_drop,intermediate_q_feature,L2_pen,shape_penalty,seq_len,learning_rate,scale_features,orthogonal_gpd,n_epochs,batch_size,lr_decay,patience_decay,min_lr,patience_stop,tol,Train_loss,Valid_loss,min_valid_loss,min_valid_e,test_MAE_q0.995,test_MAE_q0.999,test_MAE_q0.9995,test_MSE_q0.995,test_MSE_q0.999,test_MSE_q0.9995
foldnormal,5000,4,0.8,3,TRUE,lstm,1,32,0,TRUE,0,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.16940229199827,1.18361532688141,1.1825410425663,116,0.592703455208082,0.963501156602032,1.14203636794018,0.591805209495378,1.37428706135656,1.86880276135745
foldnormal,5000,4,0.8,3,TRUE,lstm,2,32,0,TRUE,0,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.14841078966856,1.20343086123466,1.19430819153786,144,0.784039924377845,1.15124269134882,1.31803534778918,1.301794330113,2.63160951057906,3.36797854065197
foldnormal,5000,4,0.8,3,TRUE,lstm,3,32,0,TRUE,0,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.13693461660296,1.22107356786728,1.19344520568848,126,0.721396163993634,0.919993948465769,1.0013291719434,1.07760523825117,1.72763209539564,2.0225592599297
foldnormal,5000,4,0.8,3,TRUE,lstm,1,64,0,TRUE,0,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.17230075970292,1.19204264879227,1.18828159570694,94,0.85096844095666,1.61965090471921,2.01854386209634,1.1955716774977,3.76628339953027,5.62357498672194
foldnormal,5000,4,0.8,3,TRUE,lstm,2,64,0,TRUE,0,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.15462471544743,1.18672880530357,1.17721369862556,52,0.584370977212953,0.748186796128376,0.806320316626869,0.755813075892421,1.23329135495183,1.44013946431409
foldnormal,5000,4,0.8,3,TRUE,lstm,3,64,0,TRUE,0,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.17470878362656,1.19396576285362,1.19280177354813,118,0.836201906923225,1.64952467740703,2.08035720762108,1.14229983527624,3.80656206362425,5.80378416900753
foldnormal,5000,4,0.8,3,TRUE,lstm,1,128,0,TRUE,0,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.09795143827796,1.28864425420761,1.20803287625313,96,1.23314574186073,1.71005632184316,1.91616059293406,3.54048086816491,6.89560860678238,8.6628027117709
foldnormal,5000,4,0.8,3,TRUE,lstm,2,128,0,TRUE,0,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.16986884735525,1.17039656639099,1.16892984509468,46,0.471863722303339,0.657243549664987,0.730767364886095,0.405546302103312,0.693387679827453,0.834097638279996
foldnormal,5000,4,0.8,3,TRUE,lstm,3,128,0,TRUE,0,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.15236362069845,1.19044187664986,1.16857051849365,44,0.573540994440362,0.715095238300292,0.772157856248118,0.750604612992758,1.18727460910054,1.3928217839068
foldnormal,5000,4,0.8,3,TRUE,lstm,1,256,0,TRUE,0,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.15008891932666,1.19960674643517,1.18172612786293,57,0.781616407164197,1.15429235707072,1.31799958545669,1.39025591008182,2.81206397347157,3.57756643555647
foldnormal,5000,4,0.8,3,TRUE,lstm,2,256,0,TRUE,0,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.16477733850479,1.1929886341095,1.18784064054489,67,0.876560842501703,1.50468541455478,1.81240287835296,1.81952565477309,4.51463825708832,6.1967720138046
foldnormal,5000,4,0.8,3,TRUE,lstm,3,256,0,TRUE,0,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.24523206613958,1.36783009767532,1.32212281227112,67,9.38488863503891,31.6906648181467,50.5309428737031,121.814472205691,1306.28837228524,3280.59977864552
foldnormal,5000,4,0.8,3,TRUE,lstm,1,32,0,TRUE,1e-06,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.16001879237592,1.17138317227364,1.16707974672318,82,0.459798397715443,0.550389141510253,0.587180044122661,0.46470285819355,0.692615721446359,0.806879567931385
foldnormal,5000,4,0.8,3,TRUE,lstm,2,32,0,TRUE,1e-06,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.15294909849763,1.17995867133141,1.17542040348053,141,0.543028357719483,0.679523797383592,0.7309539545965,0.65437910376371,1.01657018345963,1.17895312746059
foldnormal,5000,4,0.8,3,TRUE,lstm,3,32,0,TRUE,1e-06,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.16151101887226,1.17142435908318,1.16401785612106,26,0.436003880765374,0.516303032243607,0.555872471241902,0.456973862031873,0.682041328344713,0.808273997959874
foldnormal,5000,4,0.8,3,TRUE,lstm,1,64,0,TRUE,1e-06,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.16675457824022,1.18846872448921,1.18785345554352,128,0.711394192013294,1.19424391604104,1.43192534170559,0.907451334242286,2.29289593343075,3.18003446732094
foldnormal,5000,4,0.8,3,TRUE,lstm,2,64,0,TRUE,1e-06,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.1506235729903,1.20343452692032,1.19212013483047,79,0.842869129584877,1.33687918941934,1.58048688126137,1.63801121221991,3.809734646418,5.13085644987006
foldnormal,5000,4,0.8,3,TRUE,lstm,3,64,0,TRUE,1e-06,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.14392624422908,1.23727980256081,1.19930475950241,76,1.00426647286413,1.75458313946872,2.13705936221524,1.92133375880449,5.17228774147117,7.38368592822163
foldnormal,5000,4,0.8,3,TRUE,lstm,1,128,0,TRUE,1e-06,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.15604552812874,1.18932342529297,1.17337471246719,34,0.5818810760758,0.725349084534076,0.776365823575177,0.78579645193529,1.2451916079455,1.44500591674908
foldnormal,5000,4,0.8,3,TRUE,lstm,2,128,0,TRUE,1e-06,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.16801244579256,1.17343378067017,1.16921770572662,46,0.468242371310182,0.634185266831829,0.697363527408927,0.431681883069295,0.720658751440401,0.856050149498472
foldnormal,5000,4,0.8,3,TRUE,lstm,3,128,0,TRUE,1e-06,0,10,0.001,TRUE,TRUE,1000,256,0.4,5,1e-05,20,1e-05,1.18613522313535,1.19355118274689,1.19095242023468,69,1.05267801964479,2.20367585663294,2.80956514504874,1.48711556896597,5.82588230302953,9.26603677968921
