depth_scale,depth_shape,lrr_opt,B_opt,dev_best
1,0,5,419,1.1368194643273069
1,1,5,419,1.1368490171633279
2,1,7,197,1.1387199208068903
2,2,7,197,1.1386855112830865
3,1,7,131,1.1411034074821576
3,2,7,131,1.1411065136765834
3,3,7,131,1.1411379605899348
