depth_scale,depth_shape,lrr_opt,B_opt,dev_best
1,0,5,612,1.360311663630965
1,1,5,544,1.3596270352733342
2,1,5,193,1.3647541827252496
2,2,5,193,1.3648217310099366
3,1,5,170,1.3713058060130812
3,2,6,199,1.3713786087006323
3,3,6,199,1.3715510633284516
